,sedentary,LPA,MPA,VPA,steps,active
326,578,112,8,51,9089.0,2
327,588,173,37,130,9971.0,2
328,1215,5,0,0,9373.0,2
329,1440,0,0,0,4747.0,0
330,969,148,9,37,16968.0,4
331,807,175,5,40,15757.0,4
332,724,128,14,50,14911.0,4
333,471,116,3,22,6797.0,1
334,467,202,41,71,5368.0,1
335,597,187,35,65,14140.0,4
336,552,146,48,62,10475.0,3
337,624,234,3,6,12293.0,1
338,670,185,0,0,9953.0,2
339,572,180,61,40,8352.0,2
340,549,261,7,33,9495.0,2
341,699,150,8,65,8441.0,2
342,667,179,10,26,7276.0,1
343,1247,165,6,22,14414.0,3
344,758,199,25,33,9461.0,2
345,739,198,45,16,2501.0,0
346,847,225,17,5,9759.0,1
347,827,205,16,30,15513.0,4
348,725,161,11,57,11182.0,3
349,588,76,4,2,16395.0,4
350,1289,78,15,58,18755.0,4
351,580,150,47,83,11099.0,3
352,640,149,18,45,17918.0,4
353,480,161,17,68,10707.0,3
354,708,166,27,105,9647.0,2
355,496,132,21,58,18400.0,4
356,602,167,7,100,17044.0,4
357,743,65,38,47,25773.0,4
358,831,180,7,40,14873.0,4
359,495,169,25,124,25060.0,4
360,568,155,18,93,14575.0,4
361,625,197,44,136,11051.0,3
362,554,208,43,53,21716.0,4
363,520,96,36,159,17775.0,4
364,360,91,23,72,19970.0,4
365,789,173,6,39,13903.0,4
366,513,177,33,131,7362.0,1
367,764,172,8,79,14724.0,4
368,757,199,18,88,10442.0,3
369,634,149,16,66,18829.0,4
370,609,117,4,32,6481.0,1
371,579,108,24,84,13178.0,4
372,722,203,7,36,12282.0,3
373,601,132,44,106,10650.0,3
374,1059,42,12,42,4595.0,0
375,959,123,29,66,11002.0,3
376,1080,160,6,43,19215.0,4
377,1278,83,19,60,16118.0,4
378,544,84,14,17,14674.0,3
379,658,154,13,45,10025.0,3
380,1038,157,24,103,31077.0,4
381,1108,235,8,44,17831.0,4
382,719,125,20,80,9144.0,2
383,824,166,3,29,21822.0,4
384,462,168,73,172,11010.0,3
385,443,217,32,61,12294.0,3
386,1069,152,17,31,16466.0,4
387,540,125,30,131,7151.0,1
388,628,176,12,37,8378.0,2
389,886,140,9,49,9508.0,2
390,1098,189,4,80,20338.0,4
391,524,278,0,0,6034.0,1
392,1238,166,14,22,18519.0,4
393,623,153,9,33,14916.0,4
394,796,143,18,122,6060.0,1
395,729,115,7,22,6643.0,1
396,821,142,11,107,9472.0,2
397,814,73,8,90,11412.0,3
398,1343,66,6,25,14534.0,4
399,661,96,6,32,9784.0,2
400,622,91,19,59,19760.0,4
401,710,128,18,55,12973.0,4
402,606,122,17,82,204.0,0
403,1262,128,9,41,21941.0,4
404,525,166,29,110,12857.0,4
405,574,117,16,64,372.0,0
406,866,11,0,0,16889.0,4
407,1440,0,0,0,285.0,0
408,1135,144,32,129,30956.0,4
409,721,124,22,60,19005.0,4
410,838,17,0,0,11645.0,3
411,1138,220,15,67,9673.0,2
412,897,11,0,0,237.0,0
413,1049,184,31,176,11953.0,3
414,731,207,25,67,18203.0,4
415,802,185,22,25,8218.0,2
416,860,159,11,56,46.0,0
417,842,15,0,0,6305.0,1
418,1241,121,12,66,2770.0,0
419,599,101,14,108,14346.0,4
420,1332,51,8,49,2225.0,0
421,923,3,0,0,18482.0,4
422,1341,51,7,41,6888.0,1
423,621,117,0,0,5137.0,1
424,809,119,17,90,7779.0,2
425,1067,113,0,0,6400.0,1
426,645,118,8,109,6917.0,1
427,815,67,5,38,19622.0,4
428,1193,108,1,25,3744.0,0
429,751,126,8,35,27173.0,4
430,680,59,4,36,1640.0,0
431,704,139,9,24,8586.0,2
432,620,118,20,127,0.0,0
433,945,52,12,12,0.0,0
434,601,154,22,150,0.0,0
435,1024,83,0,0,0.0,0
436,835,149,3,37,0.0,0
437,1440,0,0,0,15051.0,4
438,1440,0,0,0,15896.0,4
439,1440,0,0,0,7230.0,1
440,1440,0,0,0,9631.0,2
